Name,Image,Team,Batting_Style,Bowling_Style,Playing_Role
Duan Jansen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9xCrAdtHdRs1084WDVsHdvvjQtscqXaDzQTS1tHygyZCDdllxp8YvfdaN3EY&s,Mumbai Indians ,Right hand Bat,Left arm Fast,Bowler
Chris Jordan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLK2qdGN2JxPErKqJ_S1QG5MA2ZqKY6GQIoNWML-_drc7KWFi76N8jZvad2A&s,Mumbai Indians ,Right hand Bat,Right arm Fast medium,Bowler
Kumar Kartikeya,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS1DHXVkj27V8A2aNqqJR4xaD2mBY4lictdckdknwfxcqGhJLkSBXC6yk0rE&s,Mumbai Indians ,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler
Akash Madhwal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEkr6F2wilc6qRCG3NvTBDXhpZT0WvRvRr7DiQWeUbdVVZuUC_0E2IN-LeXQ&s,Mumbai Indians ,Right hand Bat,Right arm Medium fast,Bowler
Riley Meredith,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnGXG4wIXZqSsJITpoFMkwvxSvlwkRsg2RhBRaGNcVNHeVG37uPeGYbdotuw&s,Mumbai Indians ,Right hand Bat,Right arm Fast,Bowler
Shams Mulani,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjx7vZg6hGLLimUR2Uh8n3VkBTT6Swr_26rwF6Y71axADRmJSfzRk0QHbMdg&s,Mumbai Indians ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Ramandeep Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQK-aJ65rMxkpYje8S9EoNYeixr18B2mIJMbNYTjLNoStkhBEt1IQQCg24uaQ&s,Mumbai Indians ,Right hand Bat,Right arm Medium,Middle order Batter
Sandeep Warrier,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4R-BROJ-yqm4SBGdeTInxzwYiHRC5T9BUM5VFOfsMHucfdSWSiwT5xZtFif0&s,Mumbai Indians ,Right hand Bat,Right arm Medium,Bowler
Hrithik Shokeen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJnjUbTvLa0XvGPPJk9XS8MvZj5B4dshgYhaGOg4ni2RqZ3KOBWqIW9riH5g&s,Mumbai Indians ,Right hand Bat,Right arm Offbreak,Bowler
Tristan Stubbs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNkIwud57JjoHjBZ8hx9rFUDRmTs99c593ZrFm8EyZt3jkCzZM4MRnpT0rhls&s,Mumbai Indians ,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
